[2026-03-07 20:59:09] 🚀 2D 终极万维版启动 (N_BINS=10000)
[2026-03-07 21:39:25] [Worker] k1=np.float64(6.570588213799318), k2=np.float64(15.782398147055709) | MSE=328105.751520 | N=2169 | 2415.7s
[2026-03-07 21:39:25] [Worker] k1=np.float64(14.146931291041227), k2=np.float64(11.75788492297353) | MSE=4658.147089 | N=2225 | 2415.8s
[2026-03-07 21:39:28] [Worker] k1=np.float64(13.88662667129126), k2=np.float64(23.464235407151996) | MSE=4153.686620 | N=2232 | 2418.2s
[2026-03-07 21:39:30] [Worker] k1=np.float64(8.295582340307764), k2=np.float64(16.81296264056149) | MSE=33040422.915816 | N=2196 | 2420.6s
[2026-03-07 21:39:31] [Worker] k1=np.float64(11.797157572712688), k2=np.float64(33.653373763990714) | MSE=161443.835614 | N=2224 | 2421.9s
[2026-03-07 21:39:32] [Worker] k1=np.float64(6.630511960889217), k2=np.float64(-3.2735667487430753) | MSE=36729.867050 | N=2177 | 2422.4s
[2026-03-07 21:39:33] [Worker] k1=np.float64(9.644470583138773), k2=np.float64(26.047989885857042) | MSE=10883.886163 | N=2208 | 2423.5s
[2026-03-07 21:39:35] [Worker] k1=np.float64(8.03763206911003), k2=np.float64(3.8425141940506524) | MSE=33279.877792 | N=2178 | 2425.4s
[2026-03-07 21:39:35] [Worker] k1=np.float64(5.610397120477005), k2=np.float64(29.137153051217982) | MSE=3334804.010513 | N=2178 | 2425.9s
[2026-03-07 21:39:36] [Worker] k1=np.float64(13.638640928363706), k2=np.float64(23.614324903185565) | MSE=43016.388960 | N=2228 | 2426.1s
[2026-03-07 21:39:36] [Worker] k1=np.float64(11.549420946154349), k2=np.float64(21.138328392191422) | MSE=4871593.401598 | N=2205 | 2426.4s
[2026-03-07 21:39:39] [Worker] k1=np.float64(13.503280249959477), k2=np.float64(28.70664765859972) | MSE=26997.674617 | N=2221 | 2429.9s
[2026-03-07 21:39:41] [Worker] k1=np.float64(8.393044901980945), k2=np.float64(4.399642266641077) | MSE=149047.359032 | N=2176 | 2431.1s
[2026-03-07 21:39:41] [Worker] k1=np.float64(6.031168642214254), k2=np.float64(-3.038597035140164) | MSE=75028657.611196 | N=2164 | 2431.3s
[2026-03-07 21:39:42] [Worker] k1=np.float64(5.940066847209742), k2=np.float64(23.923559218020735) | MSE=3290341.864365 | N=2174 | 2432.1s
[2026-03-07 21:39:42] [Worker] k1=np.float64(10.70668333269362), k2=np.float64(10.5519933530245) | MSE=16823047.284069 | N=2199 | 2432.3s
[2026-03-07 21:39:42] [Worker] k1=np.float64(13.82087197301397), k2=np.float64(25.389029765923162) | MSE=154380.600906 | N=2224 | 2432.8s
