nohup: ignoring input
=====================================================================================
🚀 终极物理验证：共轭全谱线性拟合 (量子硬件底噪) vs 正半轴纯缩放 (理论极限)
=====================================================================================
[*] 靶向目标：前100个黎曼零点 (自动映射为 200 个正负对称点)
[*] 正在启动 256核 暴力寻优...
/root/miniconda3/lib/python3.12/site-packages/scipy/optimize/_differentialevolution.py:518: UserWarning: differential_evolution: the 'workers' keyword has overridden updating='immediate' to updating='deferred'
  with DifferentialEvolutionSolver(func, bounds, args=args,
[Worker] k=5.3378 | 物理全谱(含截距) MSE=132.15 (b=0.000) | 理论正谱(纯缩放) MSE=50075.41
[Worker] k=5.0375 | 物理全谱(含截距) MSE=70.63 (b=-0.000) | 理论正谱(纯缩放) MSE=229.71
[Worker] k=4.3768 | 物理全谱(含截距) MSE=42.65 (b=0.000) | 理论正谱(纯缩放) MSE=1075.69
[Worker] k=3.4596 | 物理全谱(含截距) MSE=75.38 (b=0.000) | 理论正谱(纯缩放) MSE=2629.92
[Worker] k=4.3500 | 物理全谱(含截距) MSE=54.49 (b=0.000) | 理论正谱(纯缩放) MSE=234805.63
[Worker] k=9.6105 | 物理全谱(含截距) MSE=92.19 (b=0.000) | 理论正谱(纯缩放) MSE=112196.18
[Worker] k=7.5427 | 物理全谱(含截距) MSE=54.57 (b=0.000) | 理论正谱(纯缩放) MSE=870.42
[Worker] k=4.8846 | 物理全谱(含截距) MSE=45.74 (b=0.000) | 理论正谱(纯缩放) MSE=681.65
[Worker] k=2.4741 | 物理全谱(含截距) MSE=160.03 (b=0.000) | 理论正谱(纯缩放) MSE=14956237.82
[Worker] k=2.2346 | 物理全谱(含截距) MSE=66.83 (b=0.000) | 理论正谱(纯缩放) MSE=4922.30
[Worker] k=7.3995 | 物理全谱(含截距) MSE=40.01 (b=0.000) | 理论正谱(纯缩放) MSE=79.69
[Worker] k=6.3354 | 物理全谱(含截距) MSE=45.03 (b=0.000) | 理论正谱(纯缩放) MSE=117765.51
[Worker] k=9.9608 | 物理全谱(含截距) MSE=49.84 (b=0.000) | 理论正谱(纯缩放) MSE=800.58
[Worker] k=9.4646 | 物理全谱(含截距) MSE=40.43 (b=0.000) | 理论正谱(纯缩放) MSE=46878.29
[Worker] k=9.5376 | 物理全谱(含截距) MSE=46.14 (b=0.000) | 理论正谱(纯缩放) MSE=58925.14
[Worker] k=8.9498 | 物理全谱(含截距) MSE=51.03 (b=-0.000) | 理论正谱(纯缩放) MSE=99.26
[Worker] k=7.6793 | 物理全谱(含截距) MSE=70.38 (b=-0.000) | 理论正谱(纯缩放) MSE=161065.03
[Worker] k=7.2050 | 物理全谱(含截距) MSE=85.90 (b=0.000) | 理论正谱(纯缩放) MSE=7228.88
[Worker] k=4.8173 | 物理全谱(含截距) MSE=114.99 (b=0.000) | 理论正谱(纯缩放) MSE=204723.65
[Worker] k=8.9091 | 物理全谱(含截距) MSE=94.31 (b=0.000) | 理论正谱(纯缩放) MSE=513.63
[Worker] k=3.7221 | 物理全谱(含截距) MSE=73.84 (b=0.000) | 理论正谱(纯缩放) MSE=4265.68
[Worker] k=2.0975 | 物理全谱(含截距) MSE=106.52 (b=0.000) | 理论正谱(纯缩放) MSE=163806.10
[Worker] k=6.7680 | 物理全谱(含截距) MSE=49.34 (b=-0.000) | 理论正谱(纯缩放) MSE=70149.08
[Worker] k=4.6709 | 物理全谱(含截距) MSE=64.09 (b=0.000) | 理论正谱(纯缩放) MSE=13248.70
[Worker] k=7.9438 | 物理全谱(含截距) MSE=56.70 (b=0.000) | 理论正谱(纯缩放) MSE=2901102.83
[Worker] k=8.7494 | 物理全谱(含截距) MSE=45.45 (b=0.000) | 理论正谱(纯缩放) MSE=3055.32
[Worker] k=4.6240 | 物理全谱(含截距) MSE=78.02 (b=0.000) | 理论正谱(纯缩放) MSE=123000.34
[Worker] k=2.6417 | 物理全谱(含截距) MSE=27.11 (b=-0.000) | 理论正谱(纯缩放) MSE=360.66
[Worker] k=2.3236 | 物理全谱(含截距) MSE=71.53 (b=0.000) | 理论正谱(纯缩放) MSE=120274.44
[Worker] k=3.7904 | 物理全谱(含截距) MSE=129.49 (b=0.000) | 理论正谱(纯缩放) MSE=2502.60
[Worker] k=9.1135 | 物理全谱(含截距) MSE=53.64 (b=0.000) | 理论正谱(纯缩放) MSE=59.74
[Worker] k=6.4551 | 物理全谱(含截距) MSE=90.77 (b=0.000) | 理论正谱(纯缩放) MSE=5683.04
[Worker] k=3.9089 | 物理全谱(含截距) MSE=81.91 (b=0.000) | 理论正谱(纯缩放) MSE=73735.40
[Worker] k=8.2554 | 物理全谱(含截距) MSE=84.02 (b=0.000) | 理论正谱(纯缩放) MSE=157985.14
[Worker] k=9.7101 | 物理全谱(含截距) MSE=52.41 (b=0.000) | 理论正谱(纯缩放) MSE=1846.33
[Worker] k=2.3556 | 物理全谱(含截距) MSE=32.26 (b=0.000) | 理论正谱(纯缩放) MSE=516.53
[Worker] k=5.2302 | 物理全谱(含截距) MSE=82.37 (b=0.000) | 理论正谱(纯缩放) MSE=870.31
[Worker] k=8.4983 | 物理全谱(含截距) MSE=62.54 (b=0.000) | 理论正谱(纯缩放) MSE=459.24
[Worker] k=2.8796 | 物理全谱(含截距) MSE=73.53 (b=0.000) | 理论正谱(纯缩放) MSE=9150.76
[Worker] k=6.9475 | 物理全谱(含截距) MSE=87.32 (b=0.000) | 理论正谱(纯缩放) MSE=1881.05
[Worker] k=7.8301 | 物理全谱(含截距) MSE=28.06 (b=-0.000) | 理论正谱(纯缩放) MSE=1524.80
[Worker] k=3.6805 | 物理全谱(含截距) MSE=93.80 (b=0.000) | 理论正谱(纯缩放) MSE=2006.52
[Worker] k=4.4275 | 物理全谱(含截距) MSE=68.02 (b=0.000) | 理论正谱(纯缩放) MSE=240.92
[Worker] k=9.0610 | 物理全谱(含截距) MSE=48.75 (b=0.000) | 理论正谱(纯缩放) MSE=116740.21
[Worker] k=5.0784 | 物理全谱(含截距) MSE=71.17 (b=0.000) | 理论正谱(纯缩放) MSE=452.90
[Worker] k=5.2588 | 物理全谱(含截距) MSE=18.48 (b=0.000) | 理论正谱(纯缩放) MSE=900.56
[Worker] k=5.7491 | 物理全谱(含截距) MSE=47.45 (b=0.000) | 理论正谱(纯缩放) MSE=604.34
[Worker] k=2.5039 | 物理全谱(含截距) MSE=78.34 (b=0.000) | 理论正谱(纯缩放) MSE=202.94
[Worker] k=8.0625 | 物理全谱(含截距) MSE=16.25 (b=0.000) | 理论正谱(纯缩放) MSE=166.43
[Worker] k=9.0932 | 物理全谱(含截距) MSE=158.53 (b=0.000) | 理论正谱(纯缩放) MSE=4754.73
[Worker] k=6.5089 | 物理全谱(含截距) MSE=41.09 (b=0.000) | 理论正谱(纯缩放) MSE=208866.78
[Worker] k=7.9848 | 物理全谱(含截距) MSE=51.54 (b=0.000) | 理论正谱(纯缩放) MSE=86277.94
[Worker] k=9.1910 | 物理全谱(含截距) MSE=48.93 (b=-0.000) | 理论正谱(纯缩放) MSE=206450.61
[Worker] k=2.8243 | 物理全谱(含截距) MSE=29.41 (b=0.000) | 理论正谱(纯缩放) MSE=272.11
[Worker] k=7.0850 | 物理全谱(含截距) MSE=48.22 (b=0.000) | 理论正谱(纯缩放) MSE=1695.20
[Worker] k=6.7052 | 物理全谱(含截距) MSE=51.69 (b=0.000) | 理论正谱(纯缩放) MSE=2820178.03
[Worker] k=7.0459 | 物理全谱(含截距) MSE=86.84 (b=0.000) | 理论正谱(纯缩放) MSE=3593.11
[Worker] k=9.6424 | 物理全谱(含截距) MSE=58.11 (b=-0.000) | 理论正谱(纯缩放) MSE=6271.46
[Worker] k=3.7982 | 物理全谱(含截距) MSE=87.21 (b=0.000) | 理论正谱(纯缩放) MSE=367.02
[Worker] k=2.3997 | 物理全谱(含截距) MSE=37.01 (b=0.000) | 理论正谱(纯缩放) MSE=57799.06[Worker] k=4.0381 | 物理全谱(含截距) MSE=66.05 (b=0.000) | 理论正谱(纯缩放) MSE=2403.45

[Worker] k=8.7741 | 物理全谱(含截距) MSE=65.53 (b=-0.000) | 理论正谱(纯缩放) MSE=130.18
[Worker] k=8.4475 | 物理全谱(含截距) MSE=95.65 (b=0.000) | 理论正谱(纯缩放) MSE=534.76
[Worker] k=8.4081 | 物理全谱(含截距) MSE=67.61 (b=0.000) | 理论正谱(纯缩放) MSE=5355351.32
[Worker] k=6.6820 | 物理全谱(含截距) MSE=110.03 (b=0.000) | 理论正谱(纯缩放) MSE=1908.80
[Worker] k=4.8130 | 物理全谱(含截距) MSE=67.83 (b=0.000) | 理论正谱(纯缩放) MSE=938.52
[Worker] k=9.2905 | 物理全谱(含截距) MSE=73.58 (b=0.000) | 理论正谱(纯缩放) MSE=13905.14
[Worker] k=6.1026 | 物理全谱(含截距) MSE=126.91 (b=0.000) | 理论正谱(纯缩放) MSE=24329983.12
[Worker] k=3.1135 | 物理全谱(含截距) MSE=80.47 (b=0.000) | 理论正谱(纯缩放) MSE=1161.83
[Worker] k=9.1393 | 物理全谱(含截距) MSE=90.87 (b=0.000) | 理论正谱(纯缩放) MSE=396.34
[Worker] k=4.0486 | 物理全谱(含截距) MSE=68.69 (b=0.000) | 理论正谱(纯缩放) MSE=326108.56
[Worker] k=4.9328 | 物理全谱(含截距) MSE=57.80 (b=0.000) | 理论正谱(纯缩放) MSE=8243.76
[Worker] k=7.4456 | 物理全谱(含截距) MSE=88.48 (b=0.000) | 理论正谱(纯缩放) MSE=3565.23
[Worker] k=5.1220 | 物理全谱(含截距) MSE=98.89 (b=0.000) | 理论正谱(纯缩放) MSE=105.35
[Worker] k=7.5165 | 物理全谱(含截距) MSE=62.62 (b=0.000) | 理论正谱(纯缩放) MSE=1087796.58
[Worker] k=3.8627 | 物理全谱(含截距) MSE=98.81 (b=0.000) | 理论正谱(纯缩放) MSE=168.52
[Worker] k=8.6212 | 物理全谱(含截距) MSE=64.06 (b=0.000) | 理论正谱(纯缩放) MSE=3556.99
[Worker] k=5.6816 | 物理全谱(含截距) MSE=75.88 (b=0.000) | 理论正谱(纯缩放) MSE=749496.16
[Worker] k=5.5475 | 物理全谱(含截距) MSE=182.70 (b=-0.000) | 理论正谱(纯缩放) MSE=1146.79
[Worker] k=5.1839 | 物理全谱(含截距) MSE=71.83 (b=-0.000) | 理论正谱(纯缩放) MSE=4759.76
[Worker] k=5.4889 | 物理全谱(含截距) MSE=88.28 (b=-0.000) | 理论正谱(纯缩放) MSE=995.54
[Worker] k=3.0671 | 物理全谱(含截距) MSE=82.33 (b=0.000) | 理论正谱(纯缩放) MSE=2708.88
[Worker] k=6.2474 | 物理全谱(含截距) MSE=53.84 (b=0.000) | 理论正谱(纯缩放) MSE=2528.62
[Worker] k=3.9812 | 物理全谱(含截距) MSE=46.71 (b=0.000) | 理论正谱(纯缩放) MSE=228125.44
[Worker] k=6.6036 | 物理全谱(含截距) MSE=95.42 (b=0.000) | 理论正谱(纯缩放) MSE=2151.90
[Worker] k=3.5468 | 物理全谱(含截距) MSE=92.43 (b=0.000) | 理论正谱(纯缩放) MSE=93.61
[Worker] k=7.9649 | 物理全谱(含截距) MSE=107.87 (b=0.000) | 理论正谱(纯缩放) MSE=7870.72
[Worker] k=6.4383 | 物理全谱(含截距) MSE=17.87 (b=0.000) | 理论正谱(纯缩放) MSE=2196.67
[Worker] k=4.7092 | 物理全谱(含截距) MSE=71.26 (b=-0.000) | 理论正谱(纯缩放) MSE=382.73
[Worker] k=6.8129 | 物理全谱(含截距) MSE=55.95 (b=0.000) | 理论正谱(纯缩放) MSE=56.66
[Worker] k=2.9226 | 物理全谱(含截距) MSE=126.69 (b=0.000) | 理论正谱(纯缩放) MSE=191123.78
[Worker] k=6.9187 | 物理全谱(含截距) MSE=69.44 (b=-0.000) | 理论正谱(纯缩放) MSE=150261.23
[Worker] k=5.6652 | 物理全谱(含截距) MSE=92.80 (b=0.000) | 理论正谱(纯缩放) MSE=25491.13
[Worker] k=4.2515 | 物理全谱(含截距) MSE=46.26 (b=0.000) | 理论正谱(纯缩放) MSE=5294.91
[Worker] k=2.2930 | 物理全谱(含截距) MSE=103.45 (b=0.000) | 理论正谱(纯缩放) MSE=607803.11
[Worker] k=9.7866 | 物理全谱(含截距) MSE=89.16 (b=0.000) | 理论正谱(纯缩放) MSE=2180.02
[Worker] k=7.2712 | 物理全谱(含截距) MSE=104.24 (b=-0.000) | 理论正谱(纯缩放) MSE=870.34
[Worker] k=5.6207 | 物理全谱(含截距) MSE=29.15 (b=0.000) | 理论正谱(纯缩放) MSE=1431.17
[Worker] k=6.9653 | 物理全谱(含截距) MSE=82.05 (b=0.000) | 理论正谱(纯缩放) MSE=12706.16
[Worker] k=2.4305 | 物理全谱(含截距) MSE=27.80 (b=0.000) | 理论正谱(纯缩放) MSE=4791.08
[Worker] k=6.5586 | 物理全谱(含截距) MSE=139.63 (b=0.000) | 理论正谱(纯缩放) MSE=4735.33
[Worker] k=5.3611 | 物理全谱(含截距) MSE=55.10 (b=0.000) | 理论正谱(纯缩放) MSE=57.04
[Worker] k=5.8226 | 物理全谱(含截距) MSE=43.54 (b=-0.000) | 理论正谱(纯缩放) MSE=159521.50
[Worker] k=3.4232 | 物理全谱(含截距) MSE=48.23 (b=0.000) | 理论正谱(纯缩放) MSE=760.49
[Worker] k=5.7872 | 物理全谱(含截距) MSE=82.64 (b=0.000) | 理论正谱(纯缩放) MSE=18135.22
[Worker] k=6.2015 | 物理全谱(含截距) MSE=90.37 (b=0.000) | 理论正谱(纯缩放) MSE=93009.64
[Worker] k=8.2043 | 物理全谱(含截距) MSE=86.75 (b=0.000) | 理论正谱(纯缩放) MSE=114.60
[Worker] k=6.5251 | 物理全谱(含截距) MSE=35.93 (b=-0.000) | 理论正谱(纯缩放) MSE=67837.50
[Worker] k=7.7349 | 物理全谱(含截距) MSE=150.55 (b=0.000) | 理论正谱(纯缩放) MSE=1120.28
[Worker] k=8.0361 | 物理全谱(含截距) MSE=117.19 (b=0.000) | 理论正谱(纯缩放) MSE=63092.02
[Worker] k=3.1492 | 物理全谱(含截距) MSE=59.80 (b=0.000) | 理论正谱(纯缩放) MSE=22592.54
[Worker] k=8.1112 | 物理全谱(含截距) MSE=128.99 (b=-0.000) | 理论正谱(纯缩放) MSE=845.50
[Worker] k=7.1214 | 物理全谱(含截距) MSE=100.63 (b=-0.000) | 理论正谱(纯缩放) MSE=12471.34
[Worker] k=3.2260 | 物理全谱(含截距) MSE=40.46 (b=0.000) | 理论正谱(纯缩放) MSE=434.45
[Worker] k=8.7146 | 物理全谱(含截距) MSE=86.94 (b=0.000) | 理论正谱(纯缩放) MSE=733.56
[Worker] k=4.5747 | 物理全谱(含截距) MSE=44.36 (b=0.000) | 理论正谱(纯缩放) MSE=81.40
[Worker] k=2.1445 | 物理全谱(含截距) MSE=38.22 (b=0.000) | 理论正谱(纯缩放) MSE=733241.24
[Worker] k=2.7850 | 物理全谱(含截距) MSE=84.33 (b=0.000) | 理论正谱(纯缩放) MSE=11392.01
[Worker] k=5.5692 | 物理全谱(含截距) MSE=40.71 (b=0.000) | 理论正谱(纯缩放) MSE=95656.95
[Worker] k=6.7607 | 物理全谱(含截距) MSE=35.04 (b=0.000) | 理论正谱(纯缩放) MSE=15306.12
[Worker] k=4.7218 | 物理全谱(含截距) MSE=34.23 (b=-0.000) | 理论正谱(纯缩放) MSE=366.03
[Worker] k=7.7993 | 物理全谱(含截距) MSE=43.93 (b=0.000) | 理论正谱(纯缩放) MSE=352.49
[Worker] k=8.2862 | 物理全谱(含截距) MSE=31.88 (b=0.000) | 理论正谱(纯缩放) MSE=3639.78
[Worker] k=6.1878 | 物理全谱(含截距) MSE=75.97 (b=0.000) | 理论正谱(纯缩放) MSE=8149.29
[Worker] k=8.1355 | 物理全谱(含截距) MSE=25.15 (b=0.000) | 理论正谱(纯缩放) MSE=8433.83
[Worker] k=3.1831 | 物理全谱(含截距) MSE=38.20 (b=0.000) | 理论正谱(纯缩放) MSE=60.39
[Worker] k=3.4797 | 物理全谱(含截距) MSE=62.88 (b=0.000) | 理论正谱(纯缩放) MSE=111502.97
[Worker] k=4.1137 | 物理全谱(含截距) MSE=129.80 (b=0.000) | 理论正谱(纯缩放) MSE=3590.39
[Worker] k=6.3082 | 物理全谱(含截距) MSE=59.57 (b=0.000) | 理论正谱(纯缩放) MSE=443.95
[Worker] k=8.6430 | 物理全谱(含截距) MSE=34.14 (b=0.000) | 理论正谱(纯缩放) MSE=16119.72
[Worker] k=9.3276 | 物理全谱(含截距) MSE=21.17 (b=0.000) | 理论正谱(纯缩放) MSE=419.69
[Worker] k=8.3339 | 物理全谱(含截距) MSE=18.90 (b=0.000) | 理论正谱(纯缩放) MSE=2850.52
[Worker] k=7.3505 | 物理全谱(含截距) MSE=25.58 (b=0.000) | 理论正谱(纯缩放) MSE=2383.19
[Worker] k=8.3860 | 物理全谱(含截距) MSE=99.59 (b=0.000) | 理论正谱(纯缩放) MSE=1851997.80
[Worker] k=3.0441 | 物理全谱(含截距) MSE=105.65 (b=0.000) | 理论正谱(纯缩放) MSE=1913.43
[Worker] k=3.6346 | 物理全谱(含截距) MSE=60.37 (b=0.000) | 理论正谱(纯缩放) MSE=172.81
[Worker] k=9.0068 | 物理全谱(含截距) MSE=60.63 (b=-0.000) | 理论正谱(纯缩放) MSE=2366.02
[Worker] k=8.8330 | 物理全谱(含截距) MSE=53.92 (b=0.000) | 理论正谱(纯缩放) MSE=1001.51
[Worker] k=2.0931 | 物理全谱(含截距) MSE=72.29 (b=0.000) | 理论正谱(纯缩放) MSE=302.46
[Worker] k=7.6233 | 物理全谱(含截距) MSE=18.77 (b=0.000) | 理论正谱(纯缩放) MSE=4637.46
[Worker] k=2.9543 | 物理全谱(含截距) MSE=58.83 (b=0.000) | 理论正谱(纯缩放) MSE=159547.23
[Worker] k=5.4406 | 物理全谱(含截距) MSE=65.61 (b=0.000) | 理论正谱(纯缩放) MSE=826071.24
[Worker] k=6.3966 | 物理全谱(含截距) MSE=29.08 (b=0.000) | 理论正谱(纯缩放) MSE=1730.93
[Worker] k=2.2805 | 物理全谱(含截距) MSE=58.98 (b=-0.000) | 理论正谱(纯缩放) MSE=16689.98
