nohup: ignoring input
================================================================================
🚀 算力怪兽觉醒：256核并行 | 全局纯缩放 | 1D 宏观常数 k1 寻优
================================================================================
[*] 正在加载靶向黎曼零点...
[*] 演化步数已锁定为: 100亿步
[*] 寻优法则: 纯缩放 (Pure Scaling) + 全局误差计算 (不屏蔽前50点)
[*] ⚠️ 正在为 256核 阵列分配任务，起飞！
[Worker] 尝试 k=11.407048 | 纯缩放 Scale=219.1167 | 全局 MSE=2528.6814 | 耗时=2212.2s
[Worker] 尝试 k=11.222317 | 纯缩放 Scale=821.7077 | 全局 MSE=46571.1644 | 耗时=2213.1s
[Worker] 尝试 k=11.533630 | 纯缩放 Scale=234.6955 | 全局 MSE=2024.4327 | 耗时=2214.4s
[Worker] 尝试 k=10.786709 | 纯缩放 Scale=1218.3255 | 全局 MSE=165490.6259 | 耗时=2214.4s
[Worker] 尝试 k=14.919251 | 纯缩放 Scale=568.0302 | 全局 MSE=13103.8356 | 耗时=2215.1s
[Worker] 尝试 k=11.247718 | 纯缩放 Scale=336.8098 | 全局 MSE=87.7571 | 耗时=2215.9s
[Worker] 尝试 k=9.299823 | 纯缩放 Scale=550.2392 | 全局 MSE=13407.4070 | 耗时=2219.1s
[Worker] 尝试 k=7.644409 | 纯缩放 Scale=443.6824 | 全局 MSE=3366.7051 | 耗时=2219.8s
[Worker] 尝试 k=9.679274 | 纯缩放 Scale=456.5796 | 全局 MSE=3421.2413 | 耗时=2221.4s
[Worker] 尝试 k=7.410521 | 纯缩放 Scale=3203.5115 | 全局 MSE=1867738.1463 | 耗时=2223.5s[Worker] 尝试 k=11.111798 | 纯缩放 Scale=341.2730 | 全局 MSE=87.4825 | 耗时=2223.5s

[Worker] 尝试 k=7.062325 | 纯缩放 Scale=239.0065 | 全局 MSE=1766.2864 | 耗时=2223.5s
[Worker] 尝试 k=6.578680 | 纯缩放 Scale=681.9527 | 全局 MSE=29034.9350 | 耗时=2223.6s
[Worker] 尝试 k=8.743549 | 纯缩放 Scale=415.8487 | 全局 MSE=1977.6459 | 耗时=2223.7s
[Worker] 尝试 k=11.921796 | 纯缩放 Scale=755.9106 | 全局 MSE=37894.7891 | 耗时=2224.4s
[Worker] 尝试 k=14.228786 | 纯缩放 Scale=874.2720 | 全局 MSE=54580.6680 | 耗时=2224.9s
[Worker] 尝试 k=6.906278 | 纯缩放 Scale=284.4175 | 全局 MSE=293.2003 | 耗时=2225.3s
[Worker] 尝试 k=14.743259 | 纯缩放 Scale=4237.3609 | 全局 MSE=2912375.0287 | 耗时=2225.4s
[Worker] 尝试 k=7.001815 | 纯缩放 Scale=806.6008 | 全局 MSE=51029.3833 | 耗时=2226.4s
[Worker] 尝试 k=7.951933 | 纯缩放 Scale=383.5494 | 全局 MSE=1209.7381 | 耗时=2226.6s
[Worker] 尝试 k=7.571927 | 纯缩放 Scale=469.1033 | 全局 MSE=3233.1110 | 耗时=2227.0s
[Worker] 尝试 k=11.595028 | 纯缩放 Scale=577.1808 | 全局 MSE=14482.5805 | 耗时=2227.5s
[Worker] 尝试 k=5.944239 | 纯缩放 Scale=994.9934 | 全局 MSE=107149.3079 | 耗时=2227.5s
[Worker] 尝试 k=13.415749 | 纯缩放 Scale=583.7219 | 全局 MSE=14921.8190 | 耗时=2228.7s
[Worker] 尝试 k=11.764483 | 纯缩放 Scale=299.0482 | 全局 MSE=309.2399 | 耗时=2229.5s
[Worker] 尝试 k=9.526980 | 纯缩放 Scale=297.5169 | 全局 MSE=214.9359 | 耗时=2230.8s
[Worker] 尝试 k=6.787704 | 纯缩放 Scale=545.4066 | 全局 MSE=13101.3998 | 耗时=2231.0s
[Worker] 尝试 k=6.218971 | 纯缩放 Scale=433.8990 | 全局 MSE=3098.0109 | 耗时=2231.0s
[Worker] 尝试 k=10.344755 | 纯缩放 Scale=465.2311 | 全局 MSE=3978.9767 | 耗时=2231.1s
[Worker] 尝试 k=11.644851 | 纯缩放 Scale=375.0939 | 全局 MSE=619.2700 | 耗时=2231.5s
