nohup: ignoring input
=====================================================================================
🚀 算力怪兽重归正道：256核并行 | 强制 b=0 纯比例拟合 (寻找物理圣杯)
=====================================================================================
[*] 正在加载 100 阶黎曼零点真值...
[*] 锁定 100 亿步混沌演化 | 物理限制: b ≡ 0 (无漂移)
[Worker] k=9.669397 | MSE=58.0710 | Scale=312.1518 | 耗时=2286.6s
[Worker] k=11.075592 | MSE=77.7864 | Scale=337.1534 | 耗时=2287.2s
[Worker] k=7.977669 | MSE=117.8470 | Scale=337.8071 | 耗时=2287.6s
[Worker] k=9.479977 | MSE=40.3138 | Scale=324.6435 | 耗时=2288.5s
[Worker] k=9.937032 | MSE=39.7284 | Scale=311.8522 | 耗时=2289.1s
[Worker] k=13.077776 | MSE=54.0916 | Scale=316.3347 | 耗时=2289.3s
[Worker] k=2.890125 | MSE=40.2981 | Scale=310.4740 | 耗时=2289.7s
[Worker] k=3.237724 | MSE=139.6034 | Scale=330.7372 | 耗时=2290.6s
[Worker] k=12.887087 | MSE=33.3922 | Scale=320.8109 | 耗时=2291.6s
[Worker] k=10.952543 | MSE=219.1552 | Scale=328.6026 | 耗时=2292.5s
[Worker] k=12.359867 | MSE=93.6942 | Scale=317.0733 | 耗时=2292.9s
[Worker] k=2.852985 | MSE=92.4066 | Scale=322.4729 | 耗时=2295.2s
[Worker] k=14.825769 | MSE=123.6312 | Scale=334.7805 | 耗时=2295.6s
[Worker] k=2.129895 | MSE=57.6472 | Scale=326.1222 | 耗时=2296.2s
[Worker] k=13.834782 | MSE=194.9604 | Scale=336.3034 | 耗时=2296.9s
[Worker] k=5.081970 | MSE=26.6627 | Scale=314.0221 | 耗时=2297.6s
[Worker] k=2.681198 | MSE=158.9158 | Scale=341.2793 | 耗时=2298.0s
[Worker] k=5.953536 | MSE=59.8645 | Scale=319.8108 | 耗时=2298.5s
[Worker] k=12.507054 | MSE=63.1155 | Scale=316.5123 | 耗时=2298.6s
[Worker] k=2.380579 | MSE=52.0680 | Scale=307.9579 | 耗时=2298.5s
[Worker] k=14.003065 | MSE=109.3372 | Scale=324.4995 | 耗时=2298.6s
[Worker] k=2.793003 | MSE=48.8995 | Scale=321.2537 | 耗时=2299.0s
[Worker] k=6.919651 | MSE=111.6928 | Scale=331.0823 | 耗时=2299.2s
[Worker] k=10.038784 | MSE=63.0329 | Scale=329.2165 | 耗时=2299.5s
[Worker] k=13.960633 | MSE=59.7715 | Scale=333.6101 | 耗时=2300.6s
[Worker] k=4.125394 | MSE=120.1344 | Scale=327.2833 | 耗时=2300.8s
[Worker] k=12.219181 | MSE=182.1325 | Scale=350.5056 | 耗时=2300.9s
[Worker] k=7.820929 | MSE=54.3596 | Scale=311.3467 | 耗时=2301.3s
[Worker] k=2.919897 | MSE=93.9384 | Scale=312.3538 | 耗时=2302.6s
[Worker] k=2.055810 | MSE=79.5044 | Scale=319.7254 | 耗时=2303.4s
[Worker] k=13.030412 | MSE=69.7550 | Scale=344.9601 | 耗时=2303.6s
[Worker] k=7.311196 | MSE=75.0551 | Scale=322.9326 | 耗时=2305.1s
[Worker] k=3.750305 | MSE=69.7522 | Scale=314.6982 | 耗时=2305.3s[Worker] k=9.916930 | MSE=81.7827 | Scale=325.8210 | 耗时=2305.3s
[Worker] k=9.430603 | MSE=26.1554 | Scale=299.6485 | 耗时=2305.3s

[Worker] k=5.659328 | MSE=54.3008 | Scale=333.0546 | 耗时=2306.8s
[Worker] k=3.319594 | MSE=127.7968 | Scale=336.7200 | 耗时=2306.9s
[Worker] k=14.571474 | MSE=34.3758 | Scale=332.1644 | 耗时=2306.9s
[Worker] k=12.091603 | MSE=50.2665 | Scale=320.3654 | 耗时=2307.3s
[Worker] k=12.336154 | MSE=126.7646 | Scale=335.5225 | 耗时=2307.4s
[Worker] k=14.909875 | MSE=63.8113 | Scale=324.8848 | 耗时=2307.6s
[Worker] k=7.875239 | MSE=105.9460 | Scale=342.1071 | 耗时=2307.6s
[Worker] k=3.155871 | MSE=109.6181 | Scale=328.2204 | 耗时=2308.0s
[Worker] k=3.959669 | MSE=56.5687 | Scale=314.0254 | 耗时=2308.4s
[Worker] k=8.994595 | MSE=61.6341 | Scale=322.3823 | 耗时=2308.5s
[Worker] k=2.306320 | MSE=49.9896 | Scale=318.6905 | 耗时=2309.1s
[Worker] k=10.716107 | MSE=74.8927 | Scale=322.7349 | 耗时=2309.4s
[Worker] k=4.215452 | MSE=57.1673 | Scale=323.7091 | 耗时=2310.4s
[Worker] k=11.296632 | MSE=68.8158 | Scale=309.1572 | 耗时=2311.6s
[Worker] k=12.985436 | MSE=109.7973 | Scale=329.6269 | 耗时=2311.9s
[Worker] k=10.129648 | MSE=81.3560 | Scale=329.9908 | 耗时=2312.7s
[Worker] k=14.276058 | MSE=50.9591 | Scale=328.7732 | 耗时=2314.0s
[Worker] k=6.764147 | MSE=84.9667 | Scale=326.6896 | 耗时=2315.7s
[Worker] k=10.455725 | MSE=43.4901 | Scale=319.7725 | 耗时=2316.4s
[Worker] k=13.457757 | MSE=92.0910 | Scale=331.2084 | 耗时=2316.5s
[Worker] k=6.270765 | MSE=118.0560 | Scale=330.3821 | 耗时=2317.8s
[Worker] k=12.632154 | MSE=77.6754 | Scale=335.5655 | 耗时=2320.0s
[Worker] k=6.018210 | MSE=66.4476 | Scale=326.8419 | 耗时=2320.1s
[Worker] k=9.999186 | MSE=40.1528 | Scale=331.4890 | 耗时=2320.9s
[Worker] k=10.870556 | MSE=125.5859 | Scale=337.4537 | 耗时=2321.2s
[Worker] k=8.656063 | MSE=49.6542 | Scale=324.3965 | 耗时=2322.7s
[Worker] k=12.269160 | MSE=32.8850 | Scale=310.8684 | 耗时=2323.0s
[Worker] k=14.996917 | MSE=145.3553 | Scale=339.4413 | 耗时=2323.5s
[Worker] k=8.512130 | MSE=43.2578 | Scale=320.5235 | 耗时=2324.6s
[Worker] k=6.673394 | MSE=71.8052 | Scale=315.8436 | 耗时=2324.7s
[Worker] k=3.088189 | MSE=32.0727 | Scale=320.9432 | 耗时=2325.7s
[Worker] k=9.557139 | MSE=92.9535 | Scale=327.7721 | 耗时=2326.0s
[Worker] k=8.776374 | MSE=66.0265 | Scale=325.3334 | 耗时=2328.0s
[Worker] k=9.615441 | MSE=58.6527 | Scale=333.4374 | 耗时=2328.0s
[Worker] k=3.397074 | MSE=113.4929 | Scale=330.7707 | 耗时=2328.4s
[Worker] k=8.315467 | MSE=88.3085 | Scale=322.6020 | 耗时=2328.4s
[Worker] k=8.635805 | MSE=41.9150 | Scale=321.9013 | 耗时=2329.0s
[Worker] k=7.894183 | MSE=60.7721 | Scale=322.1029 | 耗时=2329.2s
[Worker] k=7.651696 | MSE=46.8390 | Scale=331.6330 | 耗时=2329.3s[Worker] k=3.340628 | MSE=31.1835 | Scale=308.4676 | 耗时=2329.3s

[Worker] k=4.174548 | MSE=65.3884 | Scale=319.3998 | 耗时=2329.3s
[Worker] k=2.417675 | MSE=61.4541 | Scale=318.9497 | 耗时=2329.5s
[Worker] k=6.537050 | MSE=40.7350 | Scale=325.2666 | 耗时=2330.1s
[Worker] k=2.492708 | MSE=56.3464 | Scale=310.4499 | 耗时=2330.2s
[Worker] k=2.248639 | MSE=31.2564 | Scale=314.0126 | 耗时=2330.3s
